population,weight,se,target
Lebanon_MBA.SG,0.29461432753485395,0.03562927075338937,Jew_Ashkenazi.HO
CanaryIslands_Guanche.SG,0.06537237234311244,0.015659478020991213,Jew_Ashkenazi.HO
Italy_PianSultano_BA.SG,0.458514607231827,0.03208103293381482,Jew_Ashkenazi.HO
Tajikistan_Ksirov_Kushan,0.1814986928902066,0.02572201544261747,Jew_Ashkenazi.HO
Lebanon_MBA.SG,0.4847743958944795,0.0373323095757392,Jew_Moroccan.HO
CanaryIslands_Guanche.SG,0.15415166124289148,0.017075693361429306,Jew_Moroccan.HO
Italy_PianSultano_BA.SG,0.2373634453153501,0.03608801946958085,Jew_Moroccan.HO
Tajikistan_Ksirov_Kushan,0.12371049754727893,0.027969563165339547,Jew_Moroccan.HO
Lebanon_MBA.SG,0.5526075230063484,0.03897865509163496,Jew_Tunisian.HO
CanaryIslands_Guanche.SG,0.1497961046397771,0.017113394783730577,Jew_Tunisian.HO
Italy_PianSultano_BA.SG,0.21494658250447282,0.03541145623182436,Jew_Tunisian.HO
Tajikistan_Ksirov_Kushan,0.08264978984940179,0.02893333127785605,Jew_Tunisian.HO
Lebanon_MBA.SG,0.46678579699056866,0.03285229017381732,Jew_Libyan.HO
CanaryIslands_Guanche.SG,0.19846692200334423,0.015631414642830042,Jew_Libyan.HO
Italy_PianSultano_BA.SG,0.2574032201453124,0.032105378884789725,Jew_Libyan.HO
Tajikistan_Ksirov_Kushan,0.07734406086077465,0.026445149138929966,Jew_Libyan.HO
Lebanon_MBA.SG,0.8220513455302667,0.031057490317204117,Jew_Yemenite.HO
CanaryIslands_Guanche.SG,0.1554962941110429,0.01827148741940469,Jew_Yemenite.HO
Tajikistan_Ksirov_Kushan,0.022452360358690363,0.026051036766886904,Jew_Yemenite.HO
Lebanon_MBA.SG,0.6574109551804365,0.03483534150212884,Jew_Iranian.HO
Italy_PianSultano_BA.SG,0.009921918589647392,0.038967711967197116,Jew_Iranian.HO
Tajikistan_Ksirov_Kushan,0.3326671262299162,0.03214638904086776,Jew_Iranian.HO
Lebanon_MBA.SG,0.7695063994334195,0.035585966022041574,Jew_Iraqi.HO
Tajikistan_Ksirov_Kushan,0.2304936005665805,0.03558596602204137,Jew_Iraqi.HO
Lebanon_MBA.SG,0.547949126697927,0.038616627028440036,Jew_Georgian.HO
Italy_PianSultano_BA.SG,0.08232761051333455,0.046789832513384005,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,0.36972326278873857,0.03576705315132643,Jew_Georgian.HO
CanaryIslands_Guanche.SG,0.022014318189594793,0.026553557356903373,Jew_Cochin.HO
Tajikistan_Ksirov_Kushan,0.9779856818104052,0.026553557356903408,Jew_Cochin.HO
Lebanon_MBA.SG,0.4700498762701527,0.03176967788876672,Jew_Turkish.HO
CanaryIslands_Guanche.SG,0.0746755693787109,0.014732047203261963,Jew_Turkish.HO
Italy_PianSultano_BA.SG,0.3459093752762795,0.029428142557407472,Jew_Turkish.HO
Tajikistan_Ksirov_Kushan,0.10936517907485686,0.02460709253070879,Jew_Turkish.HO
